"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","TAXENV","POL","PC_GDP","A","2018",0.02279187660014,
"CHE","TAXENV","POL","PC_GDP","A","2019",0.03864730510401,
"CHE","TAXENV","POL","PC_GDP","A","2020",0.04766522920655,
"TUR","TAXENV","POL","PC_GDP","A","2017",0,
"TUR","TAXENV","POL","PC_GDP","A","2018",0,
"TUR","TAXENV","POL","PC_GDP","A","2019",0,
"TUR","TAXENV","POL","PC_GDP","A","2020",0,
"GBR","TAXENV","POL","PC_GDP","A","2017",0.04310626349431,
"GBR","TAXENV","POL","PC_GDP","A","2018",0.03872368245177,
"GBR","TAXENV","POL","PC_GDP","A","2019",0.03476282119642,
"GBR","TAXENV","POL","PC_GDP","A","2020",0.03302911947703,
"CHL","TAXENV","POL","PC_GDP","A","2017",0,
"CHL","TAXENV","POL","PC_GDP","A","2018",0.06044867373454,
"CHL","TAXENV","POL","PC_GDP","A","2019",0.06450933446097,
"CHL","TAXENV","POL","PC_GDP","A","2020",0.07859561986181,
"COL","TAXENV","POL","PC_GDP","A","2017",0.00071110423299,
"COL","TAXENV","POL","PC_GDP","A","2018",0.07000632632087,
"COL","TAXENV","POL","PC_GDP","A","2019",0.00580905355178,
"COL","TAXENV","POL","PC_GDP","A","2020",0.00821685524589,
"CRI","TAXENV","POL","PC_GDP","A","2017",0.00164877665237,
"CRI","TAXENV","POL","PC_GDP","A","2018",0.00211932793367,
"CRI","TAXENV","POL","PC_GDP","A","2019",0.00134777691202,
"EST","TAXENV","POL","PC_GDP","A","2017",0.38634511017877,
"EST","TAXENV","POL","PC_GDP","A","2018",0.75304996321871,
"EST","TAXENV","POL","PC_GDP","A","2019",0.67477299429035,
"EST","TAXENV","POL","PC_GDP","A","2020",0.10929951511104,
"ISR","TAXENV","POL","PC_GDP","A","2017",0.04277310834086,
"ISR","TAXENV","POL","PC_GDP","A","2018",0.03987832727948,
"LVA","TAXENV","POL","PC_GDP","A","2017",0.06000867162344,
"LTU","TAXENV","POL","PC_GDP","A","2017",0.04061022847726,
"SVN","TAXENV","POL","PC_GDP","A","2017",0.3528267416768,
"SVN","TAXENV","POL","PC_GDP","A","2018",0.32900964379729,
"SVN","TAXENV","POL","PC_GDP","A","2019",0.31123874801883,
"SVN","TAXENV","POL","PC_GDP","A","2020",0.29294932090607,
"OECD","TAXENV","POL","PC_GDP","A","2017",0.04534290407137,
"OECD","TAXENV","POL","PC_GDP","A","2018",0.0448513415384,
"OECD","TAXENV","POL","PC_GDP","A","2019",0.04335682327815,
"OECD","TAXENV","POL","PC_GDP","A","2020",0.04520232094035,
