"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","TOT","PC_LF","A","2018",5.5,
"LUX","HUR","TOT","PC_LF","A","2019",5.591667,
"LUX","HUR","TOT","PC_LF","A","2020",6.691667,
"MEX","HUR","TOT","PC_LF","A","2017",3.419046,
"MEX","HUR","TOT","PC_LF","A","2018",3.320195,
"MEX","HUR","TOT","PC_LF","A","2019",3.490462,
"MEX","HUR","TOT","PC_LF","A","2020",4.433232,"B"
"NLD","HUR","TOT","PC_LF","A","2017",5.875,
"NLD","HUR","TOT","PC_LF","A","2018",4.866667,
"NLD","HUR","TOT","PC_LF","A","2019",4.433333,
"NLD","HUR","TOT","PC_LF","A","2020",4.85,
"NZL","HUR","TOT","PC_LF","A","2017",4.725,
"NZL","HUR","TOT","PC_LF","A","2018",4.325,
"NZL","HUR","TOT","PC_LF","A","2019",4.1,
"NZL","HUR","TOT","PC_LF","A","2020",4.6,
"NOR","HUR","TOT","PC_LF","A","2017",4.191667,
"NOR","HUR","TOT","PC_LF","A","2018",3.875,
"NOR","HUR","TOT","PC_LF","A","2019",3.7,
"NOR","HUR","TOT","PC_LF","A","2020",4.6,
"POL","HUR","TOT","PC_LF","A","2017",4.958333,
"POL","HUR","TOT","PC_LF","A","2018",3.883333,
"POL","HUR","TOT","PC_LF","A","2019",3.308333,
"POL","HUR","TOT","PC_LF","A","2020",3.216667,
"PRT","HUR","TOT","PC_LF","A","2017",9.225,
"PRT","HUR","TOT","PC_LF","A","2018",7.166667,
"PRT","HUR","TOT","PC_LF","A","2019",6.675,
"PRT","HUR","TOT","PC_LF","A","2020",7.116667,
"SVK","HUR","TOT","PC_LF","A","2017",8.083333,
"SVK","HUR","TOT","PC_LF","A","2018",6.508333,
"SVK","HUR","TOT","PC_LF","A","2019",5.716667,
"SVK","HUR","TOT","PC_LF","A","2020",6.658333,
"ESP","HUR","TOT","PC_LF","A","2017",17.23333,
"ESP","HUR","TOT","PC_LF","A","2018",15.26667,
"ESP","HUR","TOT","PC_LF","A","2019",14.10833,
"ESP","HUR","TOT","PC_LF","A","2020",15.53333,
"SWE","HUR","TOT","PC_LF","A","2017",6.858333,
"SWE","HUR","TOT","PC_LF","A","2018",6.508333,"B"
"SWE","HUR","TOT","PC_LF","A","2019",6.95,
"SWE","HUR","TOT","PC_LF","A","2020",8.533334,
"CHE","HUR","TOT","PC_LF","A","2017",4.797587,
"CHE","HUR","TOT","PC_LF","A","2018",4.714414,
"CHE","HUR","TOT","PC_LF","A","2019",4.394452,
"CHE","HUR","TOT","PC_LF","A","2020",4.815328,"B"
"TUR","HUR","TOT","PC_LF","A","2017",10.925,
"TUR","HUR","TOT","PC_LF","A","2018",10.89167,
"TUR","HUR","TOT","PC_LF","A","2019",13.74167,
"TUR","HUR","TOT","PC_LF","A","2020",13.14167,
"GBR","HUR","TOT","PC_LF","A","2017",4.425,
"GBR","HUR","TOT","PC_LF","A","2018",4.1,
"GBR","HUR","TOT","PC_LF","A","2019",3.825,
"GBR","HUR","TOT","PC_LF","A","2020",4.575,
"USA","HUR","TOT","PC_LF","A","2017",4.35,
"USA","HUR","TOT","PC_LF","A","2018",3.9,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
"USA","HUR","TOT","PC_LF","A","2020",8.091666,
"CHL","HUR","TOT","PC_LF","A","2017",6.965175,
"CHL","HUR","TOT","PC_LF","A","2018",7.376639,
"CHL","HUR","TOT","PC_LF","A","2019",7.22264,
"CHL","HUR","TOT","PC_LF","A","2020",10.77024,
"EST","HUR","TOT","PC_LF","A","2017",5.808333,
"EST","HUR","TOT","PC_LF","A","2018",5.391667,
"EST","HUR","TOT","PC_LF","A","2019",4.483333,
"EST","HUR","TOT","PC_LF","A","2020",6.883333,
"ISR","HUR","TOT","PC_LF","A","2017",4.216667,
"ISR","HUR","TOT","PC_LF","A","2018",4,
"ISR","HUR","TOT","PC_LF","A","2019",3.8,
"ISR","HUR","TOT","PC_LF","A","2020",4.325,
"SVN","HUR","TOT","PC_LF","A","2017",6.6,
"SVN","HUR","TOT","PC_LF","A","2018",5.158333,
"SVN","HUR","TOT","PC_LF","A","2019",4.466667,
"SVN","HUR","TOT","PC_LF","A","2020",5.008333,
"OECD","HUR","TOT","PC_LF","A","2017",5.946941,"E"
"OECD","HUR","TOT","PC_LF","A","2018",5.50142,"E"
"OECD","HUR","TOT","PC_LF","A","2019",5.425146,"E"
"OECD","HUR","TOT","PC_LF","A","2020",7.165803,"E"
"LVA","HUR","TOT","PC_LF","A","2017",8.708333,
"LVA","HUR","TOT","PC_LF","A","2018",7.4,
"LVA","HUR","TOT","PC_LF","A","2019",6.316667,
"LVA","HUR","TOT","PC_LF","A","2020",8.091666,
"LTU","HUR","TOT","PC_LF","A","2017",7.116667,
"LTU","HUR","TOT","PC_LF","A","2018",6.183333,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"LTU","HUR","TOT","PC_LF","A","2020",8.516666,
"COL","HUR","TOT","PC_LF","A","2017",9.295834,
"COL","HUR","TOT","PC_LF","A","2018",9.529166,
"COL","HUR","TOT","PC_LF","A","2019",10.37083,
"COL","HUR","TOT","PC_LF","A","2020",15.86417,
"CRI","HUR","TOT","PC_LF","A","2017",9.071724,
"CRI","HUR","TOT","PC_LF","A","2018",10.26405,
"CRI","HUR","TOT","PC_LF","A","2019",11.75539,
"CRI","HUR","TOT","PC_LF","A","2020",19.60688,
