"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","GDP","TOT","USD_CAP","A","2017",114862.528755,
"LUX","GDP","TOT","USD_CAP","A","2018",116801.142101,
"LUX","GDP","TOT","USD_CAP","A","2019",117058.928146,
"LUX","GDP","TOT","USD_CAP","A","2020",117721.247087,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20354.829507,
"MEX","GDP","TOT","USD_CAP","A","2019",20145.644354,"P"
"MEX","GDP","TOT","USD_CAP","A","2020",18962.568201,"P"
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",59003.864774,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",59265.247282,"P"
"NZL","GDP","TOT","USD_CAP","A","2017",42008.211082,
"NZL","GDP","TOT","USD_CAP","A","2018",42334.17358,
"NZL","GDP","TOT","USD_CAP","A","2019",45251.266802,
"NZL","GDP","TOT","USD_CAP","A","2020",44698.274404,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"NOR","GDP","TOT","USD_CAP","A","2018",69807.225536,
"NOR","GDP","TOT","USD_CAP","A","2019",66797.863207,
"NOR","GDP","TOT","USD_CAP","A","2020",62650.379161,
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"POL","GDP","TOT","USD_CAP","A","2018",31588.493559,
"POL","GDP","TOT","USD_CAP","A","2019",33427.503432,
"POL","GDP","TOT","USD_CAP","A","2020",34059.98442,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34928.61899,
"PRT","GDP","TOT","USD_CAP","A","2019",36171.964841,
"PRT","GDP","TOT","USD_CAP","A","2020",34177.019943,"P"
"SVK","GDP","TOT","USD_CAP","A","2017",30066.187534,
"SVK","GDP","TOT","USD_CAP","A","2018",31218.960027,
"SVK","GDP","TOT","USD_CAP","A","2019",31971.867433,
"SVK","GDP","TOT","USD_CAP","A","2020",31346.275873,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"ESP","GDP","TOT","USD_CAP","A","2018",40756.445269,
"ESP","GDP","TOT","USD_CAP","A","2019",41721.222195,"P"
"ESP","GDP","TOT","USD_CAP","A","2020",37764.086581,"P"
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",54598.781841,
"SWE","GDP","TOT","USD_CAP","A","2020",55064.882335,
"CHE","GDP","TOT","USD_CAP","A","2017",69103.567686,
"CHE","GDP","TOT","USD_CAP","A","2018",71660.23286,
"CHE","GDP","TOT","USD_CAP","A","2019",72033.948683,
"CHE","GDP","TOT","USD_CAP","A","2020",71731.951611,
"TUR","GDP","TOT","USD_CAP","A","2017",28193.061398,
"TUR","GDP","TOT","USD_CAP","A","2018",28281.473275,
"TUR","GDP","TOT","USD_CAP","A","2019",27144.223561,
"TUR","GDP","TOT","USD_CAP","A","2020",27547.040639,
"GBR","GDP","TOT","USD_CAP","A","2017",46385.63354,
"GBR","GDP","TOT","USD_CAP","A","2018",47590.888987,
"GBR","GDP","TOT","USD_CAP","A","2019",49070.333125,
"GBR","GDP","TOT","USD_CAP","A","2020",46526.879586,
"USA","GDP","TOT","USD_CAP","A","2017",59896.756042,
"USA","GDP","TOT","USD_CAP","A","2018",62783.978541,
"USA","GDP","TOT","USD_CAP","A","2019",65055.785369,
"USA","GDP","TOT","USD_CAP","A","2020",63285.232257,
"CHL","GDP","TOT","USD_CAP","A","2017",24402.005375,
"CHL","GDP","TOT","USD_CAP","A","2018",25657.646568,
"CHL","GDP","TOT","USD_CAP","A","2019",25280.377354,
"CHL","GDP","TOT","USD_CAP","A","2020",24689.386781,"E"
"COL","GDP","TOT","USD_CAP","A","2017",14479.812544,
"COL","GDP","TOT","USD_CAP","A","2018",15439.041412,
"COL","GDP","TOT","USD_CAP","A","2019",16130.847299,
"COL","GDP","TOT","USD_CAP","A","2020",15306.341722,"P"
"EST","GDP","TOT","USD_CAP","A","2017",33867.803542,
"EST","GDP","TOT","USD_CAP","A","2018",36327.527923,
"EST","GDP","TOT","USD_CAP","A","2019",37909.467474,
"EST","GDP","TOT","USD_CAP","A","2020",37659.452305,
"ISR","GDP","TOT","USD_CAP","A","2017",39137.375997,
"ISR","GDP","TOT","USD_CAP","A","2018",39914.217473,
"ISR","GDP","TOT","USD_CAP","A","2019",40020.387326,
"ISR","GDP","TOT","USD_CAP","A","2020",39492.618348,
"SVN","GDP","TOT","USD_CAP","A","2017",36517.579273,
"SVN","GDP","TOT","USD_CAP","A","2018",38998.007761,
"SVN","GDP","TOT","USD_CAP","A","2019",40658.631737,
"SVN","GDP","TOT","USD_CAP","A","2020",39718.051823,
"OECD","GDP","TOT","USD_CAP","A","2017",43486.30343,
"OECD","GDP","TOT","USD_CAP","A","2018",45189.937348,"P"
"OECD","GDP","TOT","USD_CAP","A","2019",46115.040143,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45030.382755,"E"
"LVA","GDP","TOT","USD_CAP","A","2017",28689.57466,
"LVA","GDP","TOT","USD_CAP","A","2018",30891.884185,
"LVA","GDP","TOT","USD_CAP","A","2019",31893.84669,
"LVA","GDP","TOT","USD_CAP","A","2020",31418.030799,
"LTU","GDP","TOT","USD_CAP","A","2017",33761.906595,
"LTU","GDP","TOT","USD_CAP","A","2018",36376.197676,
"LTU","GDP","TOT","USD_CAP","A","2019",38540.745344,
"LTU","GDP","TOT","USD_CAP","A","2020",38880.543234,
"CRI","GDP","TOT","USD_CAP","A","2017",20368.230268,
"CRI","GDP","TOT","USD_CAP","A","2018",21312.71338,
"CRI","GDP","TOT","USD_CAP","A","2019",22598.071946,
"CRI","GDP","TOT","USD_CAP","A","2020",22180.99204,"E"
